Raw_place,True_place
"Công Thanh, Vietnam",Thái Nguyên
"Angiang, An Giang, Vietnam",An Giang
Melbourne,unknown
Trảng Bàng,Tây Ninh
Cái Bè,Tiền Giang
"Kim Sơn, Lục Ngạn",Bắc Giang
Singapore,unknown
Kỳ Anh,Hà Tĩnh
İzmir (tỉnh),unknown
"Tinh Pleiku, Gia Lai, Vietnam",Gia Lai
Đất Đỏ,Hồ Chí Minh
Vĩnh Linh,Quảng Trị
Lục Yên,Yên Bái
"Nowhere, Oklahoma",Hồ Chí Minh
Barcelona,unknown
"Phu My, Bà Rịa - Vũng Tàu",Bà Rịa Vũng Tàu
Lào Cai,Lào Cai
Tp. Hồ Chí Minh,Hồ Chí Minh
Quế Lâm,Hà Nội
"San Jose, California",unknown
"Vinh, Hi Bac, Vietnam",Nghệ An
Vũng Tàu,Bà Rịa Vũng Tàu
"An Hoi, Quang Nam-Da Nang, Vietnam",Đà Nẵng
"Highlands, Texas",unknown
Cao Phong,Hòa Bình
Cambridge,unknown
"Hon Gai, Quảng Ninh, Vietnam",Quảng Ninh
"Ninh Thuân, Thuin Hai, Vietnam",Ninh Thuận
"Dalat, Lâm Đồng, Việt Nam",Lâm Đồng
Sơn Tây (thị xã),Hà Nội
Sóc Trăng (thành phố),Sóc Trăng
Bắc Mê,Hà Giang
"Ap Binh Duong (1), Vietnam",Bình Dương
"Danbury, Connecticut",unknown
"Hòa Dinh, Ha Nam Ninh, Vietnam",Hà Nam
Sơn Tịnh,Quảng Ngãi
Lý Nhân,Hà Nam
Thanh Chương,Nghệ An
"Kiên Lương, Kiên Giang",Kiên Giang
Vĩnh Long (thành phố),Vĩnh Long
Tuy Phước,Bình Định
Tam Kỳ,Quảng Nam
"Kaohsiung, Taiwan",unknown
Thanh Oai,Hà Nội
Hàm Yên,Tuyên Quang
Chợ Lớn,Hồ Chí Minh
"Thuỷ Nguyên, Hải Phòng",Hải Phòng
Sơn La,Sơn La
"Las Vegas, New Mexico",unknown
"Thái Bình, Thái Bình, Vietnam",Thái Bình
Uông Bí,Quảng Ninh
Tân Châu,An Giang
Quảng Trị (thị xã),Quảng Trị
"Quy Nhơn, Bình Định",Bình Định
Philadelphia,Hồ Chí Minh
Kim Thanh,Hải Dương
Chợ Mới,unknown
"Oxford, Oxfordshire",Hà Nội
"Ã?Uc Hue, Long An, Vietnam",Long An
Tri Tôn (thị trấn),An Giang
"Na Noi, Ha Son Binh, Vietnam",Hà Nội
"Làng Xuân Đỉnh, Hà Nội",Hà Nội
"Van Dinh, Ha Noi, Vietnam",Hà Nội
Mai Dịch Cầu Giấy Hà Nội,Hà Nội
Lai Vung,Hồ Chí Minh
Tịnh Biên,An Giang
Gò Vấp,Hồ Chí Minh
"Thanh Son, Phú Thọ",Phú Thọ
Giao Thủy,Nam Định
"Thị Xã Tân Uyên, Bình Dương",Bình Dương
Gia Lộc,Hải Dương
Phùng Khoang,Hà Nội
Gio Linh,Quảng Trị
"Thành phố New York, Hợp chủng quốc Hoa Kỳ",Hà Nội
Dầu Tiếng,Bình Dương
"Yen Dinh, Thanh Hóa, Vietnam",Thanh Hóa
"Hà Nám, Ha Nam Ninh, Vietnam",Hà Nam
Hà Đông,Hà Nội
Xuân Trường,Nam Định
"Adachi-ku, Tokyo, Japan",Hà Nội
Nam Lo Parish - Giáo xứ Nam Lỗ,Hà Nội
"Chongqing Shi, Chongqing, China",Hà Nội
"Detroit, Michigan",unknown
Phù Cừ,Hưng Yên
Bắc Ninh,Bắc Ninh
Thanh Ha,Hà Nội
"Haiphong, Hải Phòng, Vietnam",Hải Phòng
Nhơn Trạch,Đồng Nai
Thị Xã Kiến Tường,Long An
"Le Thuy, Quảng Bình, Vietnam",Quảng Bình
"Kobe-shi, Hyogo, Japan",unknown
"Hao Nam, Ha Noi, Vietnam",Hà Nội
Hải Hậu,Nam Định
Chiêm Hóa,Tuyên Quang
"Freiberg, Sachsen, Germany",Hà Nội
"Ruteng, Nusa Tenggara Timur, Indonesia",unknown
Luc Nam,Bắc Giang
Bà Rịa - Vũng Tàu,Bà Rịa Vũng Tàu
Thạnh Hóa,Thanh Hóa
Tp. HCM,Hồ Chí Minh
"Ky Son, Ha Son Binh, Vietnam",Hà Nội
"Trung Hà, Ha Noi, Vietnam",Hà Nội
Pleiku,Gia Lai
"Là Ngà, Vietnam",Đồng Nai
Lương Tài,Bắc Ninh
"Bac Can, Bắc Kạn",Bắc Kạn
"Binh Thanh, Hồ Chí Minh, Vietnam",Hồ Chí Minh
"Hoàng Mai, Bắc Giang",Bắc Giang
"Mo Trach, Hai Hung, Vietnam",Hồ Chí Minh
"Petit Paris, Bretagne, France",Hà Nội
"Albany, New York",unknown
"Bonn, Đức",unknown
"Hiep Hoa, Hi Bac, Vietnam",Bắc Giang
Cẩm Khê,Phú Thọ
Tay Ho,Hà Nội
"Ninh Giang, Hai Hung, Vietnam",unknown
"Hoành Bồ, Hải Dương",Hải Dương
Bắc Giang (thành phố),Bắc Giang
"Ōsaka, Nhật Bản",Hà Tĩnh
"Spring, Hợp chủng quốc Hoa Kỳ",Hồ Chí Minh
"Ban Me Thuot, Đắc Lắk, Vietnam",Đắk Lắk
"Mashhad, Iran",unknown
"Huong Non, Vinh Phu, Vietnam",Phú Thọ
"Van Coc, Bắc Giang",Bắc Giang
"Hà Tiên, Kiên Giang",Kiên Giang
"Châu Thành, Tiền Giang, Vietnam",Tiền Giang
Bắc Kạn,Bắc Kạn
"Ben Cam, Nhon Trach, Dong Nai.",Đồng Nai
"Bon Bu Bo Dak Nong, Đắk Nông",Đắk Nông
Cồn Thới Sơn,Tiền Giang
"Phát Diệm, Ninh Bình, Vietnam",Ninh Bình
"Ha-Dong, Shan State, Burma",Hà Nội
"Long Bien, Ha Noi",Hà Nội
Phnôm Pênh,unknown
Joensuu,unknown
"Panumbangan, Jawa Barat, Indonesia",unknown
"Long Khánh, Đồng Nai",Đồng Nai
Cai Lậy (huyện),Tiền Giang
"Đà Lạt, Lâm Đồng",Lâm Đồng
Đài Bắc,unknown
Đồng Hới,Quảng Bình
"Fountain Valley, California",unknown
"Yên Lac, Ha Noi, Vietnam",Hà Nội
"Thái Hõa, Nghệ An, Vietnam",Nghệ An
"Vinh Thuan (1), Kiến Giang, Vietnam",Kiên Giang
Me Tri,Hà Nội
Hamburg,Hồ Chí Minh
"Cẩm Phả Port, Quảng Ninh, Vietnam",Quảng Ninh
"Chevy Chase, Maryland",unknown
Toronto,Hà Nội
Thái Nguyên,Thái Nguyên
Manchester,unknown
"Nghia Ã?An, Nghệ An",Nghệ An
"Xiêm Riệp, Campuchia",unknown
Can Lộc,Hà Tĩnh
Hàn Quốc,Bắc Giang
"Tuyên Quang, Tuyên Quang, Vietnam",Tuyên Quang
Ghardaia,Thái Nguyên
"Ban Krong Pack, Đắc Lắk, Vietnam",Đắk Lắk
"An Duong, Hải Phòng, Vietnam",Hải Phòng
Tân Phú,Hồ Chí Minh
"Stamford Bridge, Cheshire, United Kingdom",Thừa Thiên Huế
Móng Cái,Quảng Ninh
Kon Tum,Kon Tum
"Lac Son, Hòa Bình",Hòa Bình
"Tonalá, Chiapas",unknown
"Sông Bé, Bìn Dương, Vietnam",Bình Dương
"Cho Do Luong, Nghệ An, Vietnam",Nghệ An
"Binh Dinh, Nghia Binh, Vietnam",Hồ Chí Minh
"Hóc Môn, Hồ Chí Minh, Vietnam",Hồ Chí Minh
"Uster, Switzerland",unknown
"California City, Hợp chủng quốc Hoa Kỳ",unknown
Vị Xuyên - Hà Giang,Hà Giang
Quận Đống Đa,Hà Nội
"Fantiet, Bình Thuận, Vietnam",Bình Thuận
"Thị trấn Thạch Hà, Hà Tĩnh",Hà Tĩnh
"Hai Dzung, Hải Dương",Hải Dương
Bảo Lộc,Lâm Đồng
Việt Nam,Hà Nội
"Kepanjen, Jawa Timur, Indonesia",unknown
Đà Nẵng,Đà Nẵng
Sankt-Peterburg,Đà Nẵng
Danang,Đà Nẵng
"Ceska Bela, Vysočina, Czech Republic",Hà Nội
Dera Ghazi Khan,unknown
"Zürich, Thụy Sỹ",Hồ Chí Minh
"Hương Sơn, Hà Tĩnh",Hà Tĩnh
"Thị Trấn Tứ Kỳ, Hải Dương",Hải Dương
"Garland, Texas",unknown
Thượng Hải,unknown
Hiroshima Peace Memorial Park,Hà Nội
"Xuân Lộc, Ðồng Nai, Vietnam",Đồng Nai
Daklak,Đắk Lắk
"Đông Triều,Quảng Ninh",Quảng Ninh
"Tuy Hòa, Phú Yên",Phú Yên
Đồng Xoài,Bình Phước
Co Loa,Hà Nội
"Ha Noi, Vietnam",Hà Nội
